id,category,question,image,A,B,C,D,answerIndex,answerText,explanation,reference,difficulty,tags
14,lanes-highway,当高速公路入口线很短时进入交通行列最安全的方法是:,,"逐渐加速,以使其他来车看见你","利用公路左线,以达车行速度","等候较长的交通间隔,再立刻加速进入",尽量利用入口加速道以达公路速度,2,"等候较长的交通间隔,再立刻加速进入","正确答案是“等候较长的交通间隔,再立刻加速进入”。变道、并线和高速行驶时要提前打灯、检查盲点，并保持足够安全距离。",NY DMV Driver’s Manual（知识点参考）,medium,lanes-highway
15,license-law-crash,"那种车祸,你必须向公路局报告?",,有人受伤,有人受伤或者死亡,有人死亡,"有财物损失,不论它的价值是多少",1,有人受伤或者死亡,正确答案是“有人受伤或者死亡”。事故、驾照和车辆法规题应以 NY DMV 官方要求为准，按规定报告和处理。,NY DMV Driver’s Manual（知识点参考）,medium,license-law-crash
16,traffic-signs-control,"在纽约如有一辆校车停在路边上下学童车的红灯闪烁发亮,这是表示什么?",,你不行从任何方向超车,"如果路上没有学童,可以超车","如果你和校车同在一条车路上面,可以超车",如果中间隔有一条安全小岛可以超车,0,你不行从任何方向超车,正确答案是“你不行从任何方向超车”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
17,sharing-road,"当驾驶时,听见救护车警报声音,应?",,"减低车速,但在你看见救护车之前不用停车","一直开车,直到你看救护车为止",加速并在下一交叉路口转弯,"将车开到路边,直到确定救护车,不在你的所行街道上为止",3,"将车开到路边,直到确定救护车,不在你的所行街道上为止","正确答案是“将车开到路边,直到确定救护车,不在你的所行街道上为止”。驾驶员需要与校车、紧急车辆、行人、自行车和其它道路使用者安全共享道路。",NY DMV Driver’s Manual（知识点参考）,medium,sharing-road
18,traffic-signs-control,“慢行车辆”标志如何?,,四方红色,圆形绿色,三角形橙色,菱形黄色,2,三角形橙色,正确答案是“三角形橙色”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
19,traffic-signs-control,"公路中央有条白色断线,表示什么?",,只有你的车子转入交叉路口时方可超过此线,只有你超过他人车子时方可超过此线,"如果不妨害交通,你可超过此线",只有你的车子转入车场出入道口(Drive way)或小巷时方可超过此线,2,"如果不妨害交通,你可超过此线","正确答案是“如果不妨害交通,你可超过此线”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。",NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
20,traffic-signs-control,长方形的标志是表示?,,停车标志,火车平交通标志,速度限制或不准泊车标志,学校平交通标志,2,速度限制或不准泊车标志,正确答案是“速度限制或不准泊车标志”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
21,right-of-way-turns,"有一辆校车停在路旁,司机挥手让你前进,你该如何?",,"暂停,等校车开走后再行前进","如果校车尾灯停止闪烁,再行前进","警察指挥你走时,再行前进",小心驾驶前进,3,小心驾驶前进,正确答案是“小心驾驶前进”。路口、转弯和让行题的核心是减速、观察、让有优先权的车辆或行人先行。,NY DMV Driver’s Manual（知识点参考）,medium,right-of-way-turns
22,defensive-driving,"如果你要在一条狭窄街道调头,第一步应该如何?",,"先打右转讯号,车子再开到马路右边",用方向灯打一左转讯号,"车子紧靠马路右边,用手打一停止讯号再行停止","看下镜子,然后左转开向对面路边",2,"车子紧靠马路右边,用手打一停止讯号再行停止","正确答案是“车子紧靠马路右边,用手打一停止讯号再行停止”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。",NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
23,parking,"你将车子靠右停在一条没有边石,向下倾斜的道路上,在离开以前,应该如何?",,"将前轮转向右边,再用煞车刹住","将前轮转向左边,再用煞车刹住","前轮和路肩平行,用低排挡","右轮压在路肩上,再行煞车刹住",0,"将前轮转向右边,再用煞车刹住","正确答案是“将前轮转向右边,再用煞车刹住”。停车题要注意消防栓、人行横道、坡道、路缘和禁止停车/停留标志。",NY DMV Driver’s Manual（知识点参考）,medium,parking
24,traffic-signs-control,“目的地”标志是什么颜色?,,黄黑色,红白色,绿白色,黑白色,2,绿白色,正确答案是“绿白色”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
25,lanes-highway,高速公路和普通公路主要不同之处何在?,,摩托车只能在高速公路最右端行驶,高速公路上汽车  行的速度较高,货车不能在高速公路上行驶,高速公路上的车辆较多,1,高速公路上汽车  行的速度较高,正确答案是“高速公路上汽车  行的速度较高”。变道、并线和高速行驶时要提前打灯、检查盲点，并保持足够安全距离。,NY DMV Driver’s Manual（知识点参考）,medium,lanes-highway
26,traffic-signs-control,"下述四种标志或人员,你最应该服从的是谁?",,闪烁的红灯,停止标志,交通警察,固定的红灯,2,交通警察,正确答案是“交通警察”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
27,traffic-signs-control,"当你开车到交叉路口“横断步道”(Crosswalk)前面,那里竖有“停止”标志,你该如何?",,停在横断步道前面,只在横断步道上面有行人时方才停止,停在横断步道上面,停在横断步道后面,0,停在横断步道前面,正确答案是“停在横断步道前面”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
28,defensive-driving,"即使是暂时停止,也在禁止之列的?",,在公路桥梁上面,在车辆进出路口,火车平交道五十尺以内,消防栓前面,0,在公路桥梁上面,正确答案是“在公路桥梁上面”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。,NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
29,right-of-way-turns,什么时候你才有“路权”?,,你从一条私人车路倒车出来,你从停车场开车出来,你已经在交通网道中,你正要开进交叉路口,2,你已经在交通网道中,正确答案是“你已经在交通网道中”。路口、转弯和让行题的核心是减速、观察、让有优先权的车辆或行人先行。,NY DMV Driver’s Manual（知识点参考）,medium,right-of-way-turns
30,defensive-driving,"当你的汽车右轮开上路边软地时,如何开回公路来?",,"停止加油,并且将方向盘轻轻的向左转","将方向盘尽量向左转,然后轻向右转","踩稳刹车,将车停住","踩稳刹车,并将方向盘稍稍向左转",1,"将方向盘尽量向左转,然后轻向右转","正确答案是“将方向盘尽量向左转,然后轻向右转”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。",NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
31,parking,"你平行倒车进入两车之间,以后应该如何?",,尽可能将车向前移动,"前轮摆直,前后两车之间留些空地",倒车差不多碰到后面的车子,将前轮转向道路,1,"前轮摆直,前后两车之间留些空地","正确答案是“前轮摆直,前后两车之间留些空地”。停车题要注意消防栓、人行横道、坡道、路缘和禁止停车/停留标志。",NY DMV Driver’s Manual（知识点参考）,medium,parking
32,lanes-highway,"你在超车前,必须算准时间和速度,如果你要回到原来的车道,你必须离开这辆车子多远?",,150,100,50,200,3,200,正确答案是“200”。变道、并线和高速行驶时要提前打灯、检查盲点，并保持足够安全距离。,NY DMV Driver’s Manual（知识点参考）,medium,lanes-highway
33,special-conditions,车前灯大概可以照亮道路多少呎?,,450,750,350,250,2,350,正确答案是“350”。恶劣天气、夜间、打滑或车辆故障时，应减速、保持冷静，避免急刹和猛打方向。,NY DMV Driver’s Manual（知识点参考）,medium,special-conditions
34,traffic-signs-control,"在公路上,指示驾驶人员进入适当路线转弯,是那种设备?",,闪烁红灯,路旁白色边线,闪烁黄灯,路上油漆白色箭头,3,路上油漆白色箭头,正确答案是“路上油漆白色箭头”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
35,defensive-driving,为什么要公告“最低速度限制”?,,显示道路状况,车辆行能顺利进行,测验交通标志,增进行人安全,1,车辆行能顺利进行,正确答案是“车辆行能顺利进行”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。,NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
36,special-conditions,"当你刹车时,车子向一边倾斜,原因是什么?",,轮轴弯曲,驾驶操纵机件陈旧,轮胎花纹磨光,刹车需要修理,3,刹车需要修理,正确答案是“刹车需要修理”。恶劣天气、夜间、打滑或车辆故障时，应减速、保持冷静，避免急刹和猛打方向。,NY DMV Driver’s Manual（知识点参考）,medium,special-conditions
37,lanes-highway,"从高速公路转入普通公路,你该如何?",,"减低速度,以达到限定的速度","看下速度表,调整到较慢的速度","在加油站停车,检查你的汽油,机油和轮胎",你的车和他车之间保持普通两倍的距离,1,"看下速度表,调整到较慢的速度","正确答案是“看下速度表,调整到较慢的速度”。变道、并线和高速行驶时要提前打灯、检查盲点，并保持足够安全距离。",NY DMV Driver’s Manual（知识点参考）,medium,lanes-highway
38,parking,"你在消防栓旁边停车,规定最少距离是多少?",,15呎,9呎,12呎,6呎,0,15呎,正确答案是“15呎”。停车题要注意消防栓、人行横道、坡道、路缘和禁止停车/停留标志。,NY DMV Driver’s Manual（知识点参考）,medium,parking
39,traffic-signs-control,"在交叉路口有一红灯一绿色箭头的交通灯号,此表示什么?",,"等见绿灯,再向任何方向前进","完全停止,然后向箭头所指方向前进",向箭头所指方向小心前进,"等见绿灯,再向箭头所指方向前进",2,向箭头所指方向小心前进,正确答案是“向箭头所指方向小心前进”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
40,lanes-highway,高速公路的“加速小道”有什么作用?,,供货车开入高速公路前试验刹车之用,供驾驶人员进入高速公路前加快速度之用,供驾驶人员超过慢速车辆之用,供过路客人搭乘便车之用,1,供驾驶人员进入高速公路前加快速度之用,正确答案是“供驾驶人员进入高速公路前加快速度之用”。变道、并线和高速行驶时要提前打灯、检查盲点，并保持足够安全距离。,NY DMV Driver’s Manual（知识点参考）,medium,lanes-highway
41,parking,何处禁止停车?,,房屋入口场所,单行街道,横断步道,学校附近100呎,2,横断步道,正确答案是“横断步道”。停车题要注意消防栓、人行横道、坡道、路缘和禁止停车/停留标志。,NY DMV Driver’s Manual（知识点参考）,medium,parking
42,traffic-signs-control,"交叉路口有一红灯闪烁,你该如何?",,只在交叉路口有车辆时方才停车,只在交叉路口有车辆进来时方才停止,"完全停止,等交叉路口车辆走完时再行前进","减速,小心前进通过交叉路口",2,"完全停止,等交叉路口车辆走完时再行前进","正确答案是“完全停止,等交叉路口车辆走完时再行前进”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。",NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
43,right-of-way-turns,盲人在何种情况之下有“路权”?,,穿着浅色衣服,由旁人扶着,"使用白色拐杖,或牵着引路的狗",戴着全黑眼镜,2,"使用白色拐杖,或牵着引路的狗","正确答案是“使用白色拐杖,或牵着引路的狗”。路口、转弯和让行题的核心是减速、观察、让有优先权的车辆或行人先行。",NY DMV Driver’s Manual（知识点参考）,medium,right-of-way-turns
44,lanes-highway,"你的车在高速公路上忽然停止不动,你最好怎么办?",,设法将车子推出道路,"让车子停在路中,叫一辆拖车来","离开你的车子,走到安全场所",等警察来帮你推车,0,设法将车子推出道路,正确答案是“设法将车子推出道路”。变道、并线和高速行驶时要提前打灯、检查盲点，并保持足够安全距离。,NY DMV Driver’s Manual（知识点参考）,medium,lanes-highway
45,defensive-driving,你有“行路优先权”此意为何?,,"你可一直前进,但不得转弯","如果没有危险,你有权先走","你可一直前进,或随意转弯",你没有小心留意的义务,1,"如果没有危险,你有权先走","正确答案是“如果没有危险,你有权先走”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。",NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
46,defensive-driving,下面那一条是“防卫驾驶”的原则?,,两眼直视前面的道路,"四周察看,周围有无事故发生","保持自信,在任何情况之下,你都能够避免危险发生",希望其他驾驶人员原谅你造成的错误,1,"四周察看,周围有无事故发生","正确答案是“四周察看,周围有无事故发生”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。",NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
47,right-of-way-turns,行人何时享有“路权”?,,附近没有交通标志而通过横断步道时,附近没有交通标志而通过道路任何部分时,当红灯亮而通过横断步道时,"交通标志可以通行,但能过道路任何部份时",0,附近没有交通标志而通过横断步道时,正确答案是“附近没有交通标志而通过横断步道时”。路口、转弯和让行题的核心是减速、观察、让有优先权的车辆或行人先行。,NY DMV Driver’s Manual（知识点参考）,medium,right-of-way-turns
48,defensive-driving,"有他车超越你的车子,这时你该如何?",,保持正常的速度,加速前进,和他车相同速度前进,速度稍慢,3,速度稍慢,正确答案是“速度稍慢”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。,NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
49,special-conditions,"你的车子已经开始在冰冻的道路上滑动时,你该如何?",,"朝车尾滑动的方向转动方向盘驾驶,不要刹车",轻轻用脚在刹车板上踏几下,"用劲握牢方向盘,立刻刹车","轻轻驶离冰冻路面,不要刹",0,"朝车尾滑动的方向转动方向盘驾驶,不要刹车","正确答案是“朝车尾滑动的方向转动方向盘驾驶,不要刹车”。恶劣天气、夜间、打滑或车辆故障时，应减速、保持冷静，避免急刹和猛打方向。",NY DMV Driver’s Manual（知识点参考）,medium,special-conditions
50,right-of-way-turns,"在一条街道或公路上面,前后有车来往,如果你向左转弯,则该如何?",,在道路中线上前进,车子左轮紧靠道路中线,尽量靠向道路右边,车子右轮紧靠道路中线,1,车子左轮紧靠道路中线,正确答案是“车子左轮紧靠道路中线”。路口、转弯和让行题的核心是减速、观察、让有优先权的车辆或行人先行。,NY DMV Driver’s Manual（知识点参考）,medium,right-of-way-turns
51,defensive-driving,"道路右边有条白线向左前方斜伸,表示什么?",,你快驶近交叉路口,道路逐渐宽广,前面正在筑路,道路逐渐狭窄,3,道路逐渐狭窄,正确答案是“道路逐渐狭窄”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。,NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
52,lanes-highway,"你想将车倒出车道,如果附近有小孩玩耍,应该如何?",,按喇叭以警告小孩,"走到车后察看,车道上面确无小孩",告诉小孩走开,"加速开动机器,警告小孩",1,"走到车后察看,车道上面确无小孩","正确答案是“走到车后察看,车道上面确无小孩”。变道、并线和高速行驶时要提前打灯、检查盲点，并保持足够安全距离。",NY DMV Driver’s Manual（知识点参考）,medium,lanes-highway
53,right-of-way-turns,你如何准备右转弯?,,尽量从道路左边开始转弯,通过交叉路口以后开始转弯,从道路中线开始转弯,尽量从道路右边开始转弯,3,尽量从道路右边开始转弯,正确答案是“尽量从道路右边开始转弯”。路口、转弯和让行题的核心是减速、观察、让有优先权的车辆或行人先行。,NY DMV Driver’s Manual（知识点参考）,medium,right-of-way-turns
54,lanes-highway,你在什么时候绝对不行超车?,,在他车右转弯时,在他车停在横断步道前面让行人先走时,在他车开进私人车道时,在他车左转弯时,1,在他车停在横断步道前面让行人先走时,正确答案是“在他车停在横断步道前面让行人先走时”。变道、并线和高速行驶时要提前打灯、检查盲点，并保持足够安全距离。,NY DMV Driver’s Manual（知识点参考）,medium,lanes-highway
55,parking,"你将车停在右边道路。这条道路有边石(curb)，而且向上倾斜,  在离开车子以前应该如何?",,"前轮和边石并行,再加刹车",前轮和边石并行,前轮向右再加刹车,前轮向左再加停车刹车,3,前轮向左再加停车刹车,正确答案是“前轮向左再加停车刹车”。停车题要注意消防栓、人行横道、坡道、路缘和禁止停车/停留标志。,NY DMV Driver’s Manual（知识点参考）,medium,parking
56,defensive-driving,"你在经过失事现场时,应该如何?",,"加快行驶,到附近电话亭打电话报告车祸","慢行,因而可以看清楚全部失事情形","如果已有他人在场协助,照常行驶",在现场停车前往协助,2,"如果已有他人在场协助,照常行驶","正确答案是“如果已有他人在场协助,照常行驶”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。",NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
57,traffic-signs-control,黄色闪烁灯表示什么?,,小心前进,完全停止,行人通过,合并车道,0,小心前进,正确答案是“小心前进”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
58,right-of-way-turns,"你在私人车道开进大道时,应该如何?",,让大道上所有车子先走,"车子部分停在大路上面,引起其他车辆的注意","加快速度在大路上面,配合其他车辆的速度","不问大路上有无车辆,完全停止",0,让大道上所有车子先走,正确答案是“让大道上所有车子先走”。路口、转弯和让行题的核心是减速、观察、让有优先权的车辆或行人先行。,NY DMV Driver’s Manual（知识点参考）,medium,right-of-way-turns
59,special-conditions,"你在浓雾中行驶,应该如何?",,打开车前高射灯光,只用停车灯灯光,打开车前低灯灯光,紧靠中央路线行走,2,打开车前低灯灯光,正确答案是“打开车前低灯灯光”。恶劣天气、夜间、打滑或车辆故障时，应减速、保持冷静，避免急刹和猛打方向。,NY DMV Driver’s Manual（知识点参考）,medium,special-conditions
60,defensive-driving,"你以每小时40里的速度行驶,和前车应该保持多少车身的距离?",,至少五个车身的距离,至少三个车身的距离,至少四个车身的距离,至少六个车身的距离,2,至少四个车身的距离,正确答案是“至少四个车身的距离”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。,NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
61,parking,"车子停在路边,规定离开边石最多不得超过多少英尺?",,18呎,12呎,15呎,6呎,1,12呎,正确答案是“12呎”。停车题要注意消防栓、人行横道、坡道、路缘和禁止停车/停留标志。,NY DMV Driver’s Manual（知识点参考）,medium,parking
62,traffic-signs-control,你在何时能超过双重黄色直线?,,出入私人车道或小巷时,超过一辆慢速度的农场用车,超过一辆慢速度的货车,"如果情况许可,可以超过任何车辆",0,出入私人车道或小巷时,正确答案是“出入私人车道或小巷时”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
63,right-of-way-turns,"你在转弯前,应该如何?",,在转弯前两个车身距离时使用讯号灯,"周围看看,如果没有危险再行转弯","按喇叭,到交叉路口没车辆时再行转弯",保持正常速度前进,1,"周围看看,如果没有危险再行转弯","正确答案是“周围看看,如果没有危险再行转弯”。路口、转弯和让行题的核心是减速、观察、让有优先权的车辆或行人先行。",NY DMV Driver’s Manual（知识点参考）,medium,right-of-way-turns
64,defensive-driving,慢车车辆(如农场拖车)的司机规定如何驾驶?,,"如果无危险,挥手示意其他车辆先行","悬挂一块橘红色的牌子,上写“慢行车辆”",尽可能在路肩上行驶,遵守一切交通规则,3,遵守一切交通规则,正确答案是“遵守一切交通规则”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。,NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
65,traffic-signs-control,“停止”标志是什么颜色?,,黑色黄字,红底白字,黄底黑字,绿底白字,1,红底白字,正确答案是“红底白字”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
66,right-of-way-turns,"负有紧急的车辆因公务在路上行驶时,那几种车辆必须让路?",,只限客车一种,"所有车辆,但校车除外",只限客车和货车两种,所有车辆,3,所有车辆,正确答案是“所有车辆”。路口、转弯和让行题的核心是减速、观察、让有优先权的车辆或行人先行。,NY DMV Driver’s Manual（知识点参考）,medium,right-of-way-turns
67,sharing-road,"如果道路上面并未设置“行人道”,则行人应该如何行走?",,在车辆较少的一边行走,在和车辆同方向的一边行走,在和车辆相反方向的一边行走,在道路的右边行走,2,在和车辆相反方向的一边行走,正确答案是“在和车辆相反方向的一边行走”。驾驶员需要与校车、紧急车辆、行人、自行车和其它道路使用者安全共享道路。,NY DMV Driver’s Manual（知识点参考）,medium,sharing-road
68,right-of-way-turns,你在何时该让对面来的车辆先走?,,左转弯时,右转弯时,已经在交叉路口内,已经在车辆行列中间,0,左转弯时,正确答案是“左转弯时”。路口、转弯和让行题的核心是减速、观察、让有优先权的车辆或行人先行。,NY DMV Driver’s Manual（知识点参考）,medium,right-of-way-turns
69,traffic-signs-control,"“不准停车”(no stopping)的标志,意义为何?",,你只能上客或下客,"除非是警察人员的命令,你不得停止",你只能上货或下货,"不问任何理由,你都不得停止",1,"除非是警察人员的命令,你不得停止","正确答案是“除非是警察人员的命令,你不得停止”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。",NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
70,traffic-signs-control,"如果道路中间有条黄色直线和一条黄色断线。这条黄色断线划在你的一边,这时你该如何?",,"如果情况许可,可以超线","不问情况如何,不得超过此线",如果是在高速公路上可以超过此线,只在你行驶近交叉路口时方能超过此线,0,"如果情况许可,可以超线","正确答案是“如果情况许可,可以超线”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。",NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
71,sharing-road,"有一条重要驾驶规则,可以适用到所有的紧急情况,这条规则是?",,慢慢放低速度,不要紧张,第一个反应是最好的反应,立刻刹车,1,不要紧张,正确答案是“不要紧张”。驾驶员需要与校车、紧急车辆、行人、自行车和其它道路使用者安全共享道路。,NY DMV Driver’s Manual（知识点参考）,medium,sharing-road
72,defensive-driving,"如果不用安全皮带,受伤的危险程度如何?",,占9成以上,占三成以上,和中等程度下受伤的程度一样,占五成以上,3,占五成以上,正确答案是“占五成以上”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。,NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
73,defensive-driving,如何使晚间驾车和白天一样安全?,,在车头灯照程内驾车,在交叉路口注意其他车辆,一直用你的高灯,随时准备立即刹车,0,在车头灯照程内驾车,正确答案是“在车头灯照程内驾车”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。,NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
74,defensive-driving,"一般说来,如果交叉路没有交通控制设备,那一辆车有权先行?",,正在右转弯的车子,相反方向来的车子,在你右边的车子,在你左边的车子,2,在你右边的车子,正确答案是“在你右边的车子”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。,NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
75,license-law-crash,"如果你牵涉在一件车祸内,你必须在几天之内向公路局提出书面报告?",,48小时以内,24小时以内,五天以内,十天以内,3,十天以内,正确答案是“十天以内”。事故、驾照和车辆法规题应以 NY DMV 官方要求为准，按规定报告和处理。,NY DMV Driver’s Manual（知识点参考）,medium,license-law-crash
